"Position","Name","Type","Signal","Label"
"124","PG9","I/O","USART6_RX","M3_RX"
"125","PG10","I/O","",""
"126","PG11","I/O","ETH_TX_EN","RMII_TX_EN"
"127","PG12","I/O","",""
"128","PG13","I/O","ETH_TXD0","RMII_TXD0"
"129","PG14","I/O","USART6_TX","M3_TX"
"130","VSS","Power","",""
"131","VDD","Power","",""
"132","PG15","I/O","",""
"133","PB3(JTDO/TRACESWO)","I/O","DEBUG_JTDO-SWO","SWO"
"134","PB4(NJTRST)","I/O","TIM3_CH1","M2_Encoder_A"
"135","PB5","I/O","TIM3_CH2","M2_Encoder_B"
"136","PB6","I/O","USART1_TX","M1_TX"
"137","PB7","I/O","TIM4_CH2","M3_Encoder_B"
"138","BOOT0","Boot","",""
"139","PB8","I/O","I2C1_SCL","SEN0374_SCL"
"140","PB9","I/O","I2C1_SDA","SEN0374_SDA"
"141","PE0","I/O","",""
"142","PE1","Output","GPIO_Output","LED_YELLOW"
"143","PDR_ON","Power","",""
"144","VDD","Power","",""
